voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_710,marinadeStake_711,stakeChange,stakeChangeAbs
ESaLvDNR7FVdf4sR1edjAGN678ts24s8VGirvPq9q7H3,34.0,1808.293,49.598,0.36,10000.0,10000.0,0.0,0.0
BXf5pMTSWJdfwaiRYpwJjkTUuUe2sdvcJx7X7UNbyGe1,64.0,70834.978,0.0,0.221,0.0,0.0,0.0,0.0
AnodeNCzJGQ7QwheFqJr6EknKGa72m6XHiLtDQiXcmEc,37.0,226721.829,66.371,0.335,10250.0,10250.0,0.0,0.0
BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,63.0,290591.491,0.0,0.22,0.0,0.0,0.0,0.0
GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT,62.0,235258.405,34.31,0.21,20000.0,20000.0,0.0,0.0
3dXXxEaV4fZqw1PL7VezfDkiJV5W4WTtRjh2EHgKSthF,61.0,17892.406,10.231,0.249,0.0,0.0,0.0,0.0
HC1NSDR9cbBeQ8V1XJ62VNceUAbjGdnCcH7f5wVFVZw3,60.0,74477.389,0.0,0.23,0.0,0.0,0.0,0.0
BrRf2kyJEuW8TgdeDjvJcKK4NzTzRtM9RB6WuVKXHxkN,59.0,233305.323,80.016,0.251,70000.0,70000.0,0.0,0.0
9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,58.0,57040.707,0.0,0.23,0.0,0.0,0.0,0.0
BNYVMkawH7ekKdbZ7NHqd7duLVc6QLATHYf5aqMkwjec,57.0,25097.038,101.494,0.23,0.0,0.0,0.0,0.0
8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,53.0,4974.862,122.211,0.25,97000.0,97000.0,0.0,0.0
A5bb5dNaqnVZBWxRNRW8UjsYZrybGkZM6snxGMaSxDg1,50.0,139.998,200.0,0.415,0.0,0.0,0.0,0.0
5nkSzU4oVSDdxZvorYwxz6BQab2VfmHbdA9AnpYVkAL7,49.0,982.288,97.789,0.28,0.0,0.0,0.0,0.0
3M4QYXfFM64wqSpSeQZWA6PJNmR6QQtF64BLzA9SG7ZD,43.0,93135.538,63.582,0.31,40000.0,40000.0,0.0,0.0
5kYPCTLoF2y7cynJEuv5LVaTPpLoPbcxiCYKk3KKcB1C,42.0,152121.423,99.767,0.315,65000.0,65000.0,0.0,0.0
DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,40.0,245446.95,208.049,0.32,150000.0,150000.0,0.0,0.0
Fxnh7reapaQPZdbLPpFG1svuEGcJvibnT1Q4N8h11g4A,39.0,14887.992,29.46,0.35,10000.0,10000.0,0.0,0.0
8Rs4wJJVFaRmARmwSvsVSAcSsUb9ZJD4USejuHm974hH,39.0,27315.578,0.0,0.35,0.0,0.0,0.0,0.0
ADmLWUm2eQ3KFijFbqa4bVfiLVmW5iqjStE5b8Wbti1y,39.0,60046.935,118.573,0.35,80000.0,80000.0,0.0,0.0
2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs,38.0,95920.583,113.159,0.331,87000.0,87000.0,0.0,0.0
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,100.0,242205.809,62.233,0.135,30000.0,30000.0,0.0,0.0
