voteAccount,stakePriority,totalActivatedStakeSol,bondBalanceSol,bidCpmpe,marinadeStake_711,marinadeStake_712,stakeChange,stakeChangeAbs
2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs,35.0,96692.971,113.206,0.331,87000.0,87000.0,0.0,0.0
BbEcnQJRYUpnABxwQeHK2DQ9yCEdMAfJFxzZeNM4e4vS,46.0,199.998,200.0,0.415,0.0,0.0,0.0,0.0
A5bb5dNaqnVZBWxRNRW8UjsYZrybGkZM6snxGMaSxDg1,46.0,200.054,200.057,0.415,0.0,0.0,0.0,0.0
3M4QYXfFM64wqSpSeQZWA6PJNmR6QQtF64BLzA9SG7ZD,40.0,99231.753,86.618,0.31,40000.0,40000.0,0.0,0.0
5kYPCTLoF2y7cynJEuv5LVaTPpLoPbcxiCYKk3KKcB1C,39.0,155448.011,99.81,0.315,65000.0,65000.0,0.0,0.0
DimavhUqvCpWjUZqSFZGLqBiUVUYQ5jZEaCHutKKVs45,37.0,249232.465,208.139,0.32,150000.0,150000.0,0.0,0.0
Fxnh7reapaQPZdbLPpFG1svuEGcJvibnT1Q4N8h11g4A,36.0,21621.829,29.471,0.35,10000.0,10000.0,0.0,0.0
8Rs4wJJVFaRmARmwSvsVSAcSsUb9ZJD4USejuHm974hH,36.0,26597.925,0.0,0.35,0.0,0.0,0.0,0.0
ADmLWUm2eQ3KFijFbqa4bVfiLVmW5iqjStE5b8Wbti1y,36.0,62460.448,120.115,0.35,80000.0,80000.0,0.0,0.0
725My2yzg5ZUpQtpEtivLT7JmRes2gGxF3KeGCbYACDe,100.0,189062.724,121.558,0.135,100000.0,100000.0,0.0,0.0
